file_name,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6,caption_7,caption_8,caption_9,caption_10
metalTunnel.wav,a very robotic synth modulates and reverberates within itself,an interesting instrument whose sound is going up and down ,the synth is reverberated at an rhythmic meter,it is like a iron rod cutting sound and it is a workshop,it is like an iron rod cutting sound and it is a workshop,a very robotic synths and reverberates within itself,an interesting instrument whose pitch is going up and down,the synth is reverberated at the rhythmic meter,it is like a iron rod cutting sound and it is a.,it is like an iron rod cutting sound and there is a workshop
Ambience Night crickets.wav,a serene bit of nightfall is met by crickets chirping,crickets chirp in the background as a soft wind blows ,crickets chirping outdoors at night with a gentle breeze blowing ,in the calmness of nightfall crickets are chirping ,while the wind softly blows crickets chirp in the background ,a serene bit of nightfall is interrupted by crickets chirping,crickets chirp in the background as the soft wind blows,crickets chirping outdoors at night with a cool breeze blowing,in this calmness of nightfall crickets are chirping,while the wind softly blows crickets somewhere in the background
Maria Hernandez Park September 1st.wav,a skateboarder is coasting on his board on a back and forth ramp as voices talk in the background ,a skateboarder rides his board up and down a ramp as people speak in the background ,people skateboard with some children who are faintly speaking ,boards with small wheels are being ridden while children are quietly speaking ,people skateboard around at the park while chatting and laughing ,a skateboarder is coasting on his board on a back and forth ramp as people talk in the background,a skateboarder rides his board up and down the ramp as people speak in the background,people skateboard with some children who are faintly.,boards with small wheels are often ridden while children are quietly speaking,"people skateboard around at the park, chatting and laughing"
Traffic Light.wav,a group of people is standing on the street near a busy freeway ,a group of people standing on the street near a busy freeway ,a detector device is operating and detecting nothing and then it registers some activity ,an electric machine is operating and detecting nothing and then it suddenly detects some activity ,unidentified squeaking occurs several times while men talk in the background ,a crowd of people is standing on the street near a busy freeway,a group of people standing on a street near a busy freeway,a detector device is detected and detecting nothing and then it registers some activity,an electric machine is operating and detecting nothing and then he suddenly detects some activity,unidentified squeaking occurs several times while people talk in the background
jettish.wav,a sweeping swaying sound rising upward repeatedly then going downward repeatedly ,a sweeping swishing sound becomes louder and fades repeatedly ,heavily distorted siren sounds make them sound like spacecraft ,they sound like a spacecraft when their siren sounds are highly distorted ,fancy alarm or alert system that is constantly going off,a sweeping swaying sound rising upward repeatedly then going down repeatedly,a sweeping swishing noise becomes louder and fades repeatedly,heavily distorted siren sounds make them look like spacecraft,they sound like the spacecraft when their siren sounds are highly distorted,fancy alarm or alert system that is not going off
broken comms2.wav,a radio cycling through stations as it is being repaired ,a radio that is trying to be tuned and fixed ,a series of bleeps and bloops fire off randomly ,the computer is beeping as a voice recording drags ,various computer noises go off as a voice call breaks up,a radio passing through stations as it is being repaired,a radio that is trying to get tuned and fixed,a series more bleeps and bloops fire off randomly,the computer is beeping as a voice recording.,various computer noises go off as a voice call picks up
wind3.wav,air is being forced through a small opening and almost making whistling noises ,the wind howled violently and shrilly then began to taper off ,the wind is blowing through the corn field very loudly ,the wind is heard whistling outside from inside ,wind howls violently and shrilly then begins to taper off ,air was being forced through a small opening and almost making whistling noises,the wind howled violently and shrilly then started to taper off,the wind is blowing through the cornfield very loudly,the wind is heard whistling outside and inside,wind howls violently and shrilly then starts to taper off
Drinking Through Straw.wav,a cold icy drink is stirred and then sipped through a straw until it is gone ,a person is pouring a drink and then taking a sip ,a stone object rubs and hits against another object,a straw is moving and audible as it whirls around the bottom of the drain ,someone is stirring a drink with ice cubes in it and starts drinking with a straw until empty ,a cold icy drink is stirred and then sipped from a straw until it is gone,a person is pouring their drink and then taking a sip,a stone object rubs and hits on another object,a straw is moving and audible as it moves around the bottom of the drain,someone is stirring a drink with ice cubes in it and then drinking with a straw until empty
the swarm v31m3.wav,a built up sound comprised of whining chirping and other sounds that slowly dies off ,a built up sound comprised of whirring chirping and other sounds that slowly dies off ,a noisy vacuum cleaner is used in a confined space ,a vacuum cleaner with noisy bearings being used in a confined space ,cranking noises turn to a low screeching that rises in volume until it is extremely loud ,a built up sound comprised of whining chirping and other noises that slowly dies off,a built up sound comprised of whirring chirping and other sounds that slowly dies.,a noisy vacuum tube is used in a confined space,a vacuum cleaner for noisy bearings being used in a confined space,cranking sounds turn to a low screeching that rises in volume until it is extremely loud
Giant 1.wav,a person gurgling while trying to ape speech patterns with some soft occasional metal clanking in the background ,a person gurgling while trying to mimic speech patterns with some soft intermittent metal clanging in the background ,a person is making weird noises with his or her mouth ,a person is speaking and is hard to understand ,a person who has a hole in their neck is talking and they are hard to understand ,a person gurgling while trying to ape speech patterns with some soft occasional metal sound in the background,a person gurgling while trying to mimic speech patterns with some soft intermittent metal clanging from the background,a person is making weird noises with his or her.,a person is speaking it is hard to understand,a person who has a hole in their head is talking and they are hard to understand
dull metal.wav,a person is making noise by tapping their fingernails on a solid surface ,metal prongs rapping insistently against the concrete ground ,tapping two metal sticks together a few times a second ,two metal objects tapping into each other a number of times ,water is dripping from the faucet into the sink ,a person is making noise by tapping their fingernails on a hard surface,metal boots rapping insistently against the concrete ground,tapping two metal pieces together a few times a second,two metal objects tapping into each other a couple of times,water is dripping from the faucet into a sink
Small Chain Clanging.wav,a person crunches through dried leaves on the ground ,aluminum candy papers are balled up in a hand ,somebody balling up aluminum candy papers in their hand ,the chain of a necklace rattles inside a plastic cup ,a person is stepping on the ground full of dried leaves,a person crunches the dried leaves on the ground,aluminum candy papers are rolled up in a hand,somebody balling up aluminum candy papers in his hand,the chain on a necklace rattles inside a plastic cup,a person was stepping on the ground full of dried leaves
Hitting Tall Grass.wav,a person slowly clears high growth vegetation outdoors,it takes more force to weed and trim as time goes on ,rocks are being thrown down on the ground ,sand is being shoveled and dumped on the ground ,the sand that is being shoveled is being dumped on the nearby ground ,a person slowly clears high growth forest outdoors,it takes more force to weed and trim as time passes on,rocks are being thrown out on the ground,sand is being shoveled and dumped on dry ground,the sand that is being shoveled is being dumped on the nearby.
Thunder Storm Daytona 3.wav,a clap of thunder coupled with the running water ,the plants in the forest are being blown and thrashed by the winds ,the thunder begins to roar as the rain is drizzling ,the thunder begins to roar while rain is drizzling ,water is running and a roar of thunder happens at the same time ,a roar of thunder coupled with the running water,the plants in the forest are being crushed and thrashed by the winds,the thunder begins to roar as the rain starts drizzling,the thunder begins to roar and rain is drizzling,water is splashed and a roar of thunder happens at the same time
smoking in car.wav,a person trying to use a lighter multiple times to light a cigarette and then inhaling and coughing ,after the lighter clicks and lights the cigarette the man coughs ,someone starts a lighter lights a cigarette takes a breath from the cigarette and then coughs ,striking the lighter she lit the cigarette pulled and began to cough ,the person tried a few times to light the cigarette with a lighter and he inhales and coughs ,a person trying to use a stick multiple times to light a cigarette and then inhaling and coughing,after the lighter stops and lights the cigarette the man coughs,"someone starts a lighter lights a cigarette takes a breath from the cigarette, then coughs",striking the lighter she lit a cigarette pulled and began to cough,the man tried a few times to light the cigarette with a lighter and he inhales and coughs
Huston we have a problem (before &amp; after cleaning).wav,a female voice communicates over a static walkie-talkie ,dispatcher and radio communication between people who are talking ,people are talking with each other using radio communication ,people are talking to each other on the radio ,someone on the radio talking to another person ,a female voice communicates over a static.,dispatcher - radio communication between people who are talking,people are talking with the other using radio communication,people are talking to each other over the radio,someone on the radio talking to a person
Subping03.wav,a bell sound rings and echoes and slowly returns ,a small quiet mechanical reading or beeping similar to a radar ,a soft mechanical bleeping which is reminiscent of radar ,a sonar sound starting off strong then fading to begin strong again and eventually quiet down ,sonar is activated and its audio oscillates between strong and weak signals ,a bell sound rings and slowly and slowly returns,a small quiet mechanical reading box beeping similar to a radar,a soft mechanical bleeping that is reminiscent of radar,a sonar sound starting off strong then fading then begin strong again and eventually quiet down,sonar is activated and its audio oscillates both strong and weak signals
sheep on pasture.wav,a baby lamb baaing and an adult lamb baaing while walking through grass ,a human mimics a lamb as it bleats ,a lamb bleating while a human mimics it ,sheep bleat while birds chirp in the background ,sheep call out while birds chirp in the background ,a baby lamb baaing and another adult lamb baaing while walking through grass,a human mimics a mouse as it bleats,a mouse bleating while a human mimics it,sheep bleat while birds chirp from the background,sheep call out while birds chirp in a background
je_footstepsCement.wav,a person walks on a scratchy surface in a frequent manner,a person wearing slides is dragging their feet while they walk ,someone is walking down a sidewalk and dragging their feet a little bit ,someone walking down a sidewalk and dragging their feet a little bit ,someone walks by wearing flip flops as they clack and scrape along the sidewalk ,a person walks over a scratchy surface in a frequent manner,a person wearing slides is on their feet while they walk,someone is walking down a sidewalk and dragging their shoes a little bit,someone walking along a sidewalk and dragging their feet a little bit,someone walks by wearing flipped flops as they clack and scrape along the sidewalk
Geroezemoes.wav,a great number of people of all sorts of ages converse with each other including a small child ,a group of people are having breakfast together in a cafeteria ,a group of people eat breakfast together at a table in the cafeteria ,a group or crowd of people speaking and shouting ,a large of group of people composed of different ages talk to each other including a toddler ,a large number of people of all sorts of ages converse with each other including a small child,a group of people were having breakfast together in a cafeteria,a group of people eat breakfast alone at a table in the cafeteria,a group or crowd of persons speaking and shouting,a large of group of people composed of different ages talk to each other including the toddler
paper01.wav,a book being flipped through over and over ,a books whose page keeps being turned over ,flipping through a book to put emphasis on the movement of the paper ,some flipping the pages of a book with large leaves,someone flipping the large leaf pages of a book ,a book being flipped through through and over,a books whose page keeps getting turned over,flipping through a book to put emphasis on slow movement of the paper,some flipping the pages of a book on large leaves,someone flipping the large leaf pages of the book
0400 Traffic_police.wav,a car idling then somebody blowing a whistle while motorcycles pass by,a person blows a whistle at a busy city intersection ,a person blows a whistle at a busy intersection ,several cars drive along a road while a police officer directs traffic ,several cars driving on a road and a whistle is sounding ,a car idling then somebody blows a whistle while motorcycles pass by,a man blows a whistle at a busy city intersection,a person blowing a whistle at a busy intersection,several cars drive along a road while a police officer directs.,several cars driving on the road and a whistle is sounding
"Crowd ambience, eating popcorn.wav",a short distance away a group of people engage in indistinguishable chatter ,as time goes on the bustling crowd chatter resonates ,many people were moving and discussing inside of a large hall ,the activity of crowd chatter resonates as time goes on ,people are talking loudly in the background indistinguishably,a short distance away a group with people engage in indistinguishable chatter,as time goes on the bustling street chatter resonates,many people were moving and discussing inside of a large.,the activity of the chatter resonates as time goes on,people were talking loudly in the background indistinguishably
"Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav",a person was walking on a sidewalk adjacent to a school where children were playing on the playground ,as the wind begins to blow background sounds like metal clanking and children screeching arise ,from outside the laundromat someone watches the clothes go round and round in the dryer,metal clanks as the wind blows and the voices of children are screeching way in the background ,someone walking down a sidewalk next to a school with kids on the playground playing ,a person was walking on the sidewalk adjacent to a school where children were playing on the playground,as the wind begins to blow background noises like metal clanking and children screeching arise,from outside the laundromat someone watches the clothes go round and round in a dryer,metal clanks as the wind blows and the voices of children come screeching way in the background,someone walking down a sidewalk next to a school with kids on a playground playing
Fan_Ventilation_Stereo 4.wav,a large industrial machine was whirring inside of a room ,a large industrial machine whirring inside of a room ,a loud mechanical whir is quite muffled by a distant nature sound ,a small engine runs with a small fan of a vehicle similar to a car ,industry equipment being utilized inside a company warehouse,a large industrial motor was whirring inside of a room,a large industrial machine whirring inside from a room,a loud mechanical whir is quite muffled by a distant nature.,a small engine runs with a small fan in a vehicle similar to a car,industry equipment being utilized inside a large warehouse
Cicadas and birds in a hot summer noon.wav,animals and insects are making their usual sounds in a meadow ,birds chirping outside while people are talking in the background ,in a jungle a flock of birds chirp among the flowing river ,in the distance different birds chirped at different times ,the jungle with a lot of birds chirping and potentially a river or waterfall nearby ,animals and birds are making their usual sounds in a meadow,"birds chirping, while people are talking in the background",in a distance a flock of birds chirp among the flowing river,in the distance different birds chirped at various times,the jungle with a lot more birds chirping and potentially a river or waterfall nearby
150209 Trevor Webb Beard Trimming.wav,a hair trimmer being used to cut hair ,a pair of hair clippers is cutting through hair ,the hair of a person is being cut with a hair trimmer ,the buzz of an electric razor cutting the hair of someone ,the buzzing of an electric razor as someone receives a hair cut ,a hair trimmer being used for cut hair,a pair with hair clippers is cutting through hair,"the hair of a person, being cut with a hair trimmer",the buzz of the electric razor cutting the hair of someone,the buzzing of an electric razor as someone receives their hair cut
16_Rain_Light_Ocean_44_16.wav,a camp fire crackles as the flames burn branches and leaves ,a camp fire is crackling as it burns up branches and leaves ,a whir close by and cracking occurs because of a small fire ,a whir nearby and then cracking is apparent from a small fire ,the rain is falling and dripping without other noise ,a camp fire crackles as the men burn branches and leaves,a camp fire is crackling as it burns through branches and leaves,a whir close by and cracking occurs because of a small.,a whir nearby and then another is apparent from a small fire,the rain is falling and dripping without any noise
160718 HSN boy on tricycle passing by.wav,a lot of noise is coming from a factory engine ,a person shredding paper in a paper shredder ,a shredder is on and a person puts a charge card into the shredder ,someone is playing with a remote control car,a factory engine is making a lot of noise,a lot of noise is coming from a factory.,a person shredding paper in the paper shredder,a shredder goes on and a person puts a charge card into the shredder,someone is playing with the remote control car,a factory engine is making a lot of.
remix of 130879__frederic-font__05-hang-song-1.wav,an upbeat melody of music is repeatedly playing ,multiple phase music is being played with a rhythmic beat ,music is being played with a steady beat ,someone playing an instrument at a constant rate and tune ,an upbeat music melody is playing over and over again,an upbeat melody of which is repeatedly playing,multiple phase music is being played with a rhythmic.,music is being made with a steady beat,someone playing an instrument at a different rate and tune,an upbeat music melody is playing through and over again
2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,a hand held sander was used as various speeds ,a power tool is being used to cut grass ,a weed whacker trimming edges from a lawn ,a weed whacker trims the edges of a lawn ,someone is operating a weed eater power tool ,a hand held sander was used at various speeds,a power tool currently being used to cut grass,a weed whacker trimming edges from a.,a weed whacker trims the edges on a lawn,someone is operating a weed eater power.
fridaynight.wav,a siren sounds in the distance as heavy traffic rumbles by and a street performer starts playing ,apparatus running and a melodic instrument being played in the meantime ,traffic roars a distant siren sounds and a street performer plays music ,someone is playing the trumpet as cars and people are passing by,someone is playing the trumpet while cars and people are passing by,"a siren sounds in the distance, heavy traffic rumbles by and a street performer starts playing",apparatus running and a melodic instrument being played at the meantime,traffic roars a distant siren sounds and a street performer plays.,someone is blowing the trumpet as cars and people are passing by,someone is playing the trumpet while cars and trucks are passing by
ClockTicking.wav,a machine is making a loud clicking noise ,a pendulum moves back and forth and a pendulum ticks ,a pendulum ticks as it moves back and forth ,the machine is making a loud clicking noise ,the ticktocking of a loud clock in the foreground,a mouse is making a loud clicking noise,a pendulum moves back and forth and the pendulum ticks,a pendulum ticks as he moves back and forth,the machine is making very loud clicking noise,the ticktocking of a loud clock in a foreground
Running.wav,chains are rattling while a horse is moving then a man coughs ,slow first then quickening horse feet and the jangle of their harness pass along followed by a light cough ,someone is running with their keys just a jingling and then coughs ,with increasing speed the trotting of horse feet and the jangle of their equipment pass by followed by a cough ,chains are rattling as horse is moving then man coughs,chains are broken while a horse is moving then a man coughs,slow first then quickening horse feet and the jangle of their harness pass along followed by a loud cough,someone is running with their keys just a little and then coughs,with increasing speed the trotting of horse feet and the jangle of their equipment pass by followed with a cough,chains are rattling as horse is moving and man coughs
opening and closing a loft door.wav,a man moves from the basement to upstairs moving a heavy metal object with him ,somebody slides open a heavy object or doorway then continues walking ,someone closes the garage door and then walks upstairs ,someone slowly slides open a heavy screen door and then proceeds to walk down the hallway ,wooden rod beating sound and pushing some heavy material sound,a man moves from the basement to upstairs moving a heavy wooden object with him,somebody slides open a heavy objectless doorway then continues walking,someone closes the garage door and he walks upstairs,"someone slowly slides open a heavy screen door, then proceeds to walk down the hallway",wooden rod beating sound and pushing some heavy material.
Breaking Glass .wav,a person shatters multiple glass objects and then bangs on things ,breaking glass maybe a bottle eight pieces of window or a conservatory with repetitive strikes on the glass objective,plates break loudly as they are dropped to the floor ,the tinkling glass sounds after bottles are thrown and broken ,the sound of glass breaking and falling onto the floor,a person shatters multiple glass objects and repeatedly bangs on things,breaking glass maybe a hundred eight pieces of window or a conservatory with repetitive strikes on the glass objective,plates break loudly as we are dropped to the floor,the tinkling glass sounds after they are thrown and broken,the sound of glass breaking and crashing onto the floor
arsta.wav,storm wind blows in the dense forest and makes a peaceful sound ,storm wind blows in the dense forest very nice sound,the wind is so strong it is blowing at a high altitude ,wind and rain point to signs of a hurricane ,wind is blowing and bursting at a high altitude ,storm wind blows in the dense forest and makes a peaceful.,storm wind blows in the dense trees very nice sound,the wind is so strong it is blowing at very high altitude,wind and rain point to signs of the hurricane,wind is blowing and bursting at a high.
Dog splashing in a lake.wav,a dog jumped into the water and swim and then came out panting it shook its body,a dog pants jumps in water and shakes the water off ,a dog wearing a chain collar runs towards a pool swims through it and returns then shakes the water off ,a dog with chain collar runs towards a pool swims through and returns to shake the water off ,jumping into the water to swim the dog came out panting and shook his body ,a fish jumped into the water and swim and then came out panting it shook its body,"a dog pants jumps in water, shakes the water off",a dog with a chain collar runs towards a pool swims through it and returns then shakes the water off,a dog with chain collar pointing towards a pool swims through and returns to shake the water off,jumping into the water to swim the dog came out panting and shook its body
20100402.Brugge.street.04.wav,a group is in a carriage that is being drawn by a horse on a paved road ,a group of people socializing and a horse trotting in the background ,a throng of people are socializing as a horse trots by in the background ,several people talking and laughing with a horse passing along in the background ,several people were talking and laughing with a horse is passing by along in the background ,a person is in a carriage that is being drawn by a horse on a paved road,a crowd of people socializing and a horse trotting in the background,a throng of people are socializing as the horse trots by in the background,several people talking and laughing with a car passing along in the background,several people were talking and laughing with a horse is passing by along in the.
DOOR_sliding_fthrll.wav,a loud foot stomp interrupts the rhythmic use of the old adding machine ,a mechanical device is being rattled loose while making plastic noises and thuds ,an old adding machine clattering and a foot striking against a hard floor ,someone closing drawers of folders being pushed back ,mechanical device being rattled lightly with plastic noises and thuds ,a loud metal stomp interrupts the rhythmic use of the old adding machine,a small device is being rattled loose while making plastic noises and thuds,an old adding machine clattering and a foot striking against a hard.,"someone closing, of folders being pushed back",mechanical device being rattled lightly ; plastic noises and thuds
20110220_river.wav,a boat rises above the large waves while a person yells something ,background voices were present during the wind furiously and continuously rustled and blew ,it is easy to sleep when a lot of rain from a storm hits the top of a country roof ,people are floating down a river in a plastic boat while talking to each other ,water running over a waterfall with a frog croaking in the background ,a boat rises above the large lake while a person yells something,background voices were present during the wind furiously and leaves rustled and blew,it is easy to sleep when a lot of rain from a storm hits the roof of a country roof,people were floating down a river in a plastic boat while talking to each other,water running over a waterfall with a frog croaking from the background
20130723_Rain1.wav,a car honks from the midst of a rainstorm ,a vehicle comes to a stop and idles with clunking sound before multiple honks and yells interfere ,rain from a rainstorm is hitting surfaces and a car honks,rain hitting the ground before and after two vehicles honk their horns and a man hollers in the background ,the rain is coming down hard and a horn blows in the distance ,a car honks from the midst of a.,a vehicle comes to a stop and idles with clunking sound before multiple honks of yells interfere,rain from a rainstorm is slippery surfaces and a car honks,rain hitting the ground before and after two cars honk their horns and a man hollers in the background,the rain is coming down hard and a horn blows into the distance
SFX_001.wav,beautiful pipe organ music is played before trailing off into silence ,it is a peaceful instrumental keyboard melody with bell sounds ,pipe organ music beautifully played then trails off into silence,unknown musical tones coming from some kind of electric musical instrument ,a dull instrumental keyboard melody with bell sounds,beautiful pipe organ music is heard before trailing off into silence,it is a peaceful instrumental love melody with bell sounds,pipe organ music beautifully played then trails off into.,"unknown, tones coming from some kind of electric musical instrument",a dull instrumental keyboard melody A bell sounds
steel water.wav,a person tapping a hollow brass bell indoors ,a person taps a brass bell while inside ,different type of vessels are beaten with a stick to give different noise,different type of vessels are beaten with a stick to give different noise effects ,someone plays music on an metal musical instrument or device ,a person with a hollow brass bell indoors,a person taps a brass key while inside,different type of vessels are beaten with a stick to make different noise,different type of vessels are beaten with the stick to give different noise effects,someone plays music on an appropriate musical instrument or device
A swing is squeaking at night. (Ukraine.wav,a high pitched wind instrument is played over and over the notes make a high pitched squeal ,a person plays the wind instrument making sharp shrill sounds terrible to listen to ,as a bus is moving someone plays a flute ,someone was playing flute in a moving bus,the flutist tunes his instrument before beginning to play ,a high pitched wind instrument is played over and over the notes with a high pitched squeal,a person plays the wind instrument making sharp shrill sounds terrible to hear to,as a bus is passing someone plays a flute,someone was playing cards in a moving bus,"the flutist tunes his instrument, beginning to play"
Lively Forest Stream (loop).wav,a river flows and water trickles down the rocks ,as the river flows water trickled down the rocks ,raining really hard street flooded it did not look like going to stop ,water drips slowly an continuously as a video is playing ,water trickles down the rocks as the river flows ,a river flows and water trickles down through rocks,as a river flows water trickled down the rocks,raining really the street flooded it did not look like going to stop,water drips slowly an continuously as a band is playing,water trickles down the rocks as the stream flows
Bangles put on arm.wav,a crystal and metal big lamp is being hung ,metal balls hitting each other while they are being dropped into a glass bowl,metallic distinguished objects are being put in place ,small metal balls are hitting each other while they are being dropped into a glass bowl,a metal object is clashing with other metals ,a crystal and metal big lamp is also hung,metal objects hitting each other while they are being dropped into a glass bowl,metallic distinguished species are being put in place,small metal balls start hitting each other while they are being dropped into a glass bowl,a metal that is clashing with other metals
AMB_Supermarket_BCN.wav,a cashier at a grocery store scanning items ,a grocery store clerk is scanning some items of food ,a grocery store clerk scanning some items of food ,a scanner beeps as items are being run along it ,at a grocery store a cashier is scanning items ,a cashier at the grocery store scanning items,a grocery store clerk is given some items of food,a grocery store clerk brought some items of food,a scanner beeps as items are being moved along it,"at a grocery, a cashier is scanning items"
Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,a farm has several oinking hogs in it ,a few pigs are oinking while a child is speaking in the background ,a lot of pigs oinking in the background,hogs oinking in an enclosure with faint noises of people talking in the background ,pigs oinking while people chatter in the background ,a farm has several oinking hogs in.,a few pigs are talking while a child is speaking in the background,a group of pigs oinking in the background,hogs oinking in an enclosure with faint noises of people moving in the background,pigs oinking while people singing in the background
Anti Air Gun (3 Sounds).wav,a gun starts shooting continuously a second and third gun join in after a few seconds ,a single gun being to shoot repeatedly and is shortly followed by a second and third gun ,pounding slowly then at a solid pace similar to rapid gunfire ,three people are playing video games and firing machine guns ,different gun shot constantly and another set of gun shot back,a gun starts shooting continuously a second and third gun join in for a few seconds,a single gun being to shoot repeatedly and is shortly followed by a second or third gun,pounding slowly then at a rapid pace similar to rapid gunfire,three people are playing video games and firing machine.,different gun shot constantly and another type of gun shot back
City Ambience w_ Car Passing_1-2.wav,a truck drives down a road before fading into the distance ,a truck driving down the road before disappearing ,a vehicle has drove past a quiet environment ,an engine rumbles splutters slightly and fades into the distance as it passes ,an engine splutters and rumbles slightly and fades into the distance as it passes ,a truck drives down a hill before fading into the distance,a truck driving down the road and disappearing,a vehicle that drove past a quiet environment,an engine rumbles splutters slightly then fades into the distance as it passes,an engine splutters and rumbles slightly and fades into a distance as it passes
Goin wee wee.wav,a person noisily uses and then flushes a toilet ,someone first noisily uses then flushes a toilet ,someone urinated into the water closet and flushed it,someone was urinating into the toilet with water and then flushed it ,water slowly drips before moving into large splashes before a giant flush ,a person noisily uses and then flushes a.,someone first noisily uses then flushes a.,someone urinated in the water closet and flushed it,someone was urinating into the toilet with water and then flushed.,water slowly drips before moving into large pools before a giant flush
Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav,a car engine getting louder and tires moving over crunching gravel ,a car rides down a gravel driveway gains speed and exits onto the street ,a car riding down a gravel driveway gains speed and moves onto the street ,a vehicle is maneuvering on gravel and then drives away ,a vehicle maneuvers on gravel before driving away ,a car was getting louder and tires moving over crunching gravel,"a car rides down a gravel driveway gains speed, exits onto the street",a car riding down a gravel driveway gains speed and turns onto the street,a vehicle starts maneuvering on gravel and then drives away,"a vehicle maneuvers on gravel, driving away"
